N,nBytes,Threads,Blocks,Single-pass,SingleGB/s,Multi-pass,MultiGB/s
4,16,2,1,0.005270,0.003036,0.005250,0.003048
4,16,2,1,0.005230,0.003059,0.005140,0.003113
4,16,2,1,0.005350,0.002991,0.005170,0.003095
4,16,2,1,0.005220,0.003065,0.005220,0.003065
4,16,2,1,0.005270,0.003036,0.005330,0.003002
4,16,2,1,0.005180,0.003089,0.005170,0.003095
4,16,2,1,0.005250,0.003048,0.005300,0.003019
4,16,2,1,0.005270,0.003036,0.005210,0.003071
4,16,2,1,0.005310,0.003013,0.005340,0.002996
4,16,2,1,0.005320,0.003008,0.005280,0.003030
4,16,2,1,0.005330,0.003002,0.005290,0.003025
4,16,2,1,0.005260,0.003042,0.005190,0.003083
4,16,2,1,0.005360,0.002985,0.005290,0.003025
4,16,2,1,0.005170,0.003095,0.005220,0.003065
4,16,2,1,0.005490,0.002914,0.005310,0.003013
4,16,2,1,0.005300,0.003019,0.005230,0.003059
4,16,2,1,0.005300,0.003019,0.005240,0.003053
4,16,2,1,0.005490,0.002914,0.005290,0.003025
8,32,4,1,0.005500,0.005818,0.005320,0.006015
8,32,4,1,0.005310,0.006026,0.005150,0.006214
8,32,4,1,0.005310,0.006026,0.005160,0.006202
8,32,4,1,0.005230,0.006119,0.005220,0.006130
8,32,4,1,0.005590,0.005725,0.005200,0.006154
8,32,4,1,0.005180,0.006178,0.005170,0.006190
8,32,4,1,0.005320,0.006015,0.005290,0.006049
8,32,4,1,0.005210,0.006142,0.005140,0.006226
8,32,4,1,0.005590,0.005725,0.005220,0.006130
8,32,4,1,0.005210,0.006142,0.005200,0.006154
8,32,4,1,0.005260,0.006084,0.005200,0.006154
8,32,4,1,0.005150,0.006214,0.005100,0.006275
8,32,4,1,0.005350,0.005981,0.005200,0.006154
8,32,4,1,0.005230,0.006119,0.005160,0.006202
8,32,4,1,0.005270,0.006072,0.005160,0.006202
8,32,4,1,0.005160,0.006202,0.005240,0.006107
8,32,4,1,0.005460,0.005861,0.005200,0.006154
8,32,4,1,0.005340,0.005993,0.005220,0.006130
8,32,4,1,0.005260,0.006084,0.005240,0.006107
8,32,4,1,0.005270,0.006072,0.005230,0.006119
16,64,8,1,0.005570,0.011490,0.005460,0.011722
16,64,8,1,0.005260,0.012167,0.005200,0.012308
16,64,8,1,0.005290,0.012098,0.005250,0.012190
16,64,8,1,0.005250,0.012190,0.005350,0.011963
16,64,8,1,0.005460,0.011722,0.005250,0.012190
16,64,8,1,0.005320,0.012030,0.005200,0.012308
16,64,8,1,0.005240,0.012214,0.005180,0.012355
16,64,8,1,0.005260,0.012167,0.005250,0.012190
16,64,8,1,0.005400,0.011852,0.005260,0.012167
16,64,8,1,0.005200,0.012308,0.005230,0.012237
16,64,8,1,0.005310,0.012053,0.005240,0.012214
16,64,8,1,0.005150,0.012427,0.005240,0.012214
16,64,8,1,0.005300,0.012075,0.005180,0.012355
16,64,8,1,0.005230,0.012237,0.005180,0.012355
16,64,8,1,0.005210,0.012284,0.005210,0.012284
16,64,8,1,0.005370,0.011918,0.005260,0.012167
16,64,8,1,0.005300,0.012075,0.005220,0.012261
16,64,8,1,0.005220,0.012261,0.005210,0.012284
16,64,8,1,0.005360,0.011940,0.005270,0.012144
16,64,8,1,0.005400,0.011852,0.005400,0.011852
32,128,16,1,0.005560,0.023022,0.005350,0.023925
32,128,16,1,0.005270,0.024288,0.005350,0.023925
32,128,16,1,0.005370,0.023836,0.005160,0.024806
32,128,16,1,0.005160,0.024806,0.005370,0.023836
32,128,16,1,0.005240,0.024427,0.005230,0.024474
32,128,16,1,0.005190,0.024663,0.005370,0.023836
32,128,16,1,0.005250,0.024381,0.005280,0.024242
32,128,16,1,0.005210,0.024568,0.005410,0.023660
32,128,16,1,0.005230,0.024474,0.005240,0.024427
32,128,16,1,0.005300,0.024151,0.005210,0.024568
32,128,16,1,0.005220,0.024521,0.005230,0.024474
32,128,16,1,0.005170,0.024758,0.005460,0.023443
32,128,16,1,0.005390,0.023748,0.005130,0.024951
32,128,16,1,0.005360,0.023881,0.005240,0.024427
32,128,16,1,0.005290,0.024197,0.005180,0.024710
32,128,16,1,0.005230,0.024474,0.005240,0.024427
32,128,16,1,0.005190,0.024663,0.005190,0.024663
32,128,16,1,0.005220,0.024521,0.005250,0.024381
32,128,16,1,0.005220,0.024521,0.005160,0.024806
32,128,16,1,0.005190,0.024663,0.005390,0.023748
64,256,32,1,0.006320,0.040506,0.005390,0.047495
64,256,32,1,0.005340,0.047940,0.005290,0.048393
64,256,32,1,0.005240,0.048855,0.005260,0.048669
64,256,32,1,0.005270,0.048577,0.005210,0.049136
64,256,32,1,0.005320,0.048120,0.005260,0.048669
64,256,32,1,0.005380,0.047584,0.005170,0.049516
64,256,32,1,0.005310,0.048211,0.005190,0.049326
64,256,32,1,0.005250,0.048762,0.005300,0.048302
64,256,32,1,0.005310,0.048211,0.005290,0.048393
64,256,32,1,0.005400,0.047407,0.005230,0.048948
64,256,32,1,0.005190,0.049326,0.005290,0.048393
64,256,32,1,0.005350,0.047850,0.005280,0.048485
64,256,32,1,0.005330,0.048030,0.005160,0.049612
64,256,32,1,0.005220,0.049042,0.005270,0.048577
64,256,32,1,0.005280,0.048485,0.005180,0.049421
64,256,32,1,0.005310,0.048211,0.005230,0.048948
64,256,32,1,0.005290,0.048393,0.005300,0.048302
64,256,32,1,0.005350,0.047850,0.005440,0.047059
64,256,32,1,0.005250,0.048762,0.005260,0.048669
64,256,32,1,0.005260,0.048669,0.005100,0.050196
128,512,64,1,0.005610,0.091266,0.005370,0.095345
128,512,64,1,0.005340,0.095880,0.005340,0.095880
128,512,64,1,0.005180,0.098842,0.005200,0.098462
128,512,64,1,0.005400,0.094815,0.005250,0.097524
128,512,64,1,0.005290,0.096786,0.005260,0.097338
128,512,64,1,0.005280,0.096970,0.005200,0.098462
128,512,64,1,0.005280,0.096970,0.005280,0.096970
128,512,64,1,0.005240,0.097710,0.005260,0.097338
128,512,64,1,0.005270,0.097154,0.005300,0.096604
128,512,64,1,0.005390,0.094991,0.005290,0.096786
128,512,64,1,0.005220,0.098084,0.005230,0.097897
128,512,64,1,0.005230,0.097897,0.005340,0.095880
128,512,64,1,0.005140,0.099611,0.005350,0.095701
128,512,64,1,0.005300,0.096604,0.005400,0.094815
128,512,64,1,0.005300,0.096604,0.005220,0.098084
128,512,64,1,0.005320,0.096241,0.005270,0.097154
128,512,64,1,0.005270,0.097154,0.005330,0.096060
128,512,64,1,0.005330,0.096060,0.005300,0.096604
128,512,64,1,0.005220,0.098084,0.005230,0.097897
128,512,64,1,0.005530,0.092586,0.005250,0.097524
256,1024,128,1,0.005470,0.187203,0.005470,0.187203
256,1024,128,1,0.005510,0.185844,0.005360,0.191045
256,1024,128,1,0.005360,0.191045,0.005210,0.196545
256,1024,128,1,0.005230,0.195794,0.005300,0.193208
256,1024,128,1,0.005240,0.195420,0.005210,0.196545
256,1024,128,1,0.005430,0.188582,0.005290,0.193573
256,1024,128,1,0.005390,0.189981,0.005260,0.194677
256,1024,128,1,0.005380,0.190335,0.005400,0.189630
256,1024,128,1,0.005410,0.189279,0.005290,0.193573
256,1024,128,1,0.005570,0.183842,0.005270,0.194307
256,1024,128,1,0.005140,0.199222,0.005250,0.195048
256,1024,128,1,0.005200,0.196923,0.005230,0.195794
256,1024,128,1,0.005310,0.192844,0.005220,0.196169
256,1024,128,1,0.005320,0.192481,0.005250,0.195048
256,1024,128,1,0.005290,0.193573,0.005310,0.192844
256,1024,128,1,0.005290,0.193573,0.005170,0.198066
256,1024,128,1,0.005390,0.189981,0.005160,0.198450
256,1024,128,1,0.005420,0.188930,0.005200,0.196923
256,1024,128,1,0.005260,0.194677,0.005200,0.196923
256,1024,128,1,0.005290,0.193573,0.005290,0.193573
512,2048,128,1,0.005390,0.379963,0.005490,0.373042
512,2048,128,2,0.006210,0.329791,0.007200,0.284444
512,2048,128,2,0.006180,0.331392,0.007350,0.278639
512,2048,128,2,0.006190,0.330856,0.007080,0.289265
512,2048,128,2,0.006190,0.330856,0.007170,0.285634
512,2048,128,2,0.006220,0.329260,0.007050,0.290496
512,2048,128,2,0.006340,0.323028,0.007210,0.284050
512,2048,128,2,0.006180,0.331392,0.007120,0.287640
512,2048,128,2,0.006120,0.334640,0.007100,0.288450
512,2048,128,2,0.006100,0.335738,0.007310,0.280164
512,2048,128,2,0.006340,0.323028,0.007050,0.290496
512,2048,128,2,0.006150,0.333008,0.007140,0.286834
512,2048,128,2,0.006120,0.334640,0.007150,0.286433
512,2048,128,2,0.006110,0.335188,0.007030,0.291323
512,2048,128,2,0.006150,0.333008,0.007060,0.290085
512,2048,128,2,0.006270,0.326635,0.007060,0.290085
512,2048,128,2,0.006220,0.329260,0.007160,0.286033
512,2048,128,2,0.006160,0.332467,0.007050,0.290496
512,2048,128,2,0.006180,0.331392,0.007100,0.288450
512,2048,128,2,0.006170,0.331929,0.007000,0.292571
1024,4096,128,1,0.005680,0.721127,0.005590,0.732737
1024,4096,128,2,0.006290,0.651192,0.007090,0.577714
1024,4096,128,4,0.006300,0.650158,0.007400,0.553513
1024,4096,128,4,0.006380,0.642006,0.007210,0.568099
1024,4096,128,4,0.006310,0.649128,0.007230,0.566528
1024,4096,128,4,0.006320,0.648101,0.007140,0.573669
1024,4096,128,4,0.006370,0.643013,0.007200,0.568888
1024,4096,128,4,0.006280,0.652229,0.007220,0.567312
1024,4096,128,4,0.006190,0.661712,0.007150,0.572867
1024,4096,128,4,0.006320,0.648101,0.007160,0.572066
1024,4096,128,4,0.006290,0.651192,0.007560,0.541798
1024,4096,128,4,0.006370,0.643014,0.007110,0.576089
1024,4096,128,4,0.006450,0.635039,0.007350,0.557278
1024,4096,128,4,0.006230,0.657464,0.007340,0.558038
1024,4096,128,4,0.006410,0.639001,0.007250,0.564965
1024,4096,128,4,0.006300,0.650158,0.007300,0.561095
1024,4096,128,4,0.006350,0.645039,0.007210,0.568099
1024,4096,128,4,0.006250,0.655360,0.007140,0.573669
1024,4096,128,4,0.006190,0.661712,0.007140,0.573669
1024,4096,128,4,0.006320,0.648101,0.007230,0.566528
2048,8192,128,1,0.006080,1.347368,0.006030,1.358540
2048,8192,128,2,0.006490,1.262249,0.007150,1.145733
2048,8192,128,4,0.006390,1.282003,0.007230,1.133056
2048,8192,128,8,0.006310,1.298257,0.007230,1.133056
2048,8192,128,8,0.006260,1.308626,0.007100,1.153802
2048,8192,128,8,0.006320,1.296202,0.007230,1.133056
2048,8192,128,8,0.006340,1.292113,0.007150,1.145733
2048,8192,128,8,0.006220,1.317041,0.007160,1.144133
2048,8192,128,8,0.006330,1.294155,0.007190,1.139359
2048,8192,128,8,0.006390,1.282002,0.007360,1.113042
2048,8192,128,8,0.006420,1.276012,0.007190,1.139359
2048,8192,128,8,0.006310,1.298256,0.007230,1.133056
2048,8192,128,8,0.006300,1.300317,0.007100,1.153802
2048,8192,128,8,0.006470,1.266150,0.007280,1.125274
2048,8192,128,8,0.006270,1.306538,0.007150,1.145733
2048,8192,128,8,0.006330,1.294154,0.007170,1.142537
2048,8192,128,8,0.006410,1.278003,0.007370,1.111532
2048,8192,128,8,0.006260,1.308626,0.007260,1.128374
2048,8192,128,8,0.006360,1.288050,0.007190,1.139359
2048,8192,128,8,0.006190,1.323425,0.007190,1.139359
4096,16384,128,1,0.007020,2.333901,0.006970,2.350644
4096,16384,128,2,0.006940,2.360805,0.007470,2.193305
4096,16384,128,4,0.006650,2.463758,0.007240,2.262981
4096,16384,128,8,0.006430,2.548055,0.007150,2.291466
4096,16384,128,16,0.006240,2.625639,0.007160,2.288266
4096,16384,128,16,0.006310,2.596512,0.007240,2.262982
4096,16384,128,16,0.006280,2.608916,0.007310,2.241311
4096,16384,128,16,0.006330,2.588308,0.007260,2.256747
4096,16384,128,16,0.006190,2.646849,0.007150,2.291466
4096,16384,128,16,0.006240,2.625641,0.007200,2.275553
4096,16384,128,16,0.006320,2.592404,0.007280,2.250547
4096,16384,128,16,0.006270,2.613077,0.007240,2.262981
4096,16384,128,16,0.006140,2.668403,0.007190,2.278718
4096,16384,128,16,0.006340,2.584227,0.007190,2.278718
4096,16384,128,16,0.006220,2.634083,0.007200,2.275553
4096,16384,128,16,0.006310,2.596513,0.007230,2.266111
4096,16384,128,16,0.006280,2.608916,0.007170,2.285075
4096,16384,128,16,0.006380,2.568024,0.007340,2.232151
4096,16384,128,16,0.006150,2.664064,0.007210,2.272398
4096,16384,128,16,0.006370,2.572056,0.007200,2.275553
8192,32768,128,1,0.008840,3.706786,0.008990,3.644937
8192,32768,128,2,0.007940,4.126951,0.008310,3.943198
8192,32768,128,4,0.007140,4.589351,0.007640,4.289003
8192,32768,128,8,0.006640,4.934937,0.007360,4.452171
8192,32768,128,16,0.006390,5.128011,0.007170,4.570149
8192,32768,128,32,0.006590,4.972381,0.007310,4.482622
8192,32768,128,32,0.006340,5.168451,0.007090,4.621716
8192,32768,128,32,0.006240,5.251280,0.007210,4.544795
8192,32768,128,32,0.006180,5.302264,0.007470,4.386610
8192,32768,128,32,0.006280,5.217834,0.007120,4.602242
8192,32768,128,32,0.006140,5.336807,0.007520,4.357444
8192,32768,128,32,0.006270,5.226154,0.007130,4.595788
8192,32768,128,32,0.006230,5.259712,0.007120,4.602242
8192,32768,128,32,0.006260,5.234504,0.007110,4.608715
8192,32768,128,32,0.006280,5.217834,0.007140,4.589351
8192,32768,128,32,0.006200,5.285158,0.007210,4.544794
8192,32768,128,32,0.006190,5.293698,0.007100,4.615206
8192,32768,128,32,0.006300,5.201268,0.007110,4.608715
8192,32768,128,32,0.006180,5.302263,0.007130,4.595788
8192,32768,128,32,0.006210,5.276649,0.007420,4.416168
16384,65536,128,1,0.012480,5.251281,0.012410,5.280901
16384,65536,128,2,0.009720,6.742390,0.010170,6.444055
16384,65536,128,4,0.008120,8.070933,0.008570,7.647138
16384,65536,128,8,0.007130,9.191575,0.007650,8.566792
16384,65536,128,16,0.006470,10.129207,0.007180,9.127568
16384,65536,128,32,0.006620,9.899691,0.007270,9.014571
16384,65536,128,64,0.006170,10.621716,0.007210,9.089590
16384,65536,128,64,0.006240,10.502561,0.007120,9.204485
16384,65536,128,64,0.006190,10.587396,0.007220,9.077000
16384,65536,128,64,0.006320,10.369618,0.007140,9.178702
16384,65536,128,64,0.006170,10.621715,0.007150,9.165865
16384,65536,128,64,0.006230,10.519416,0.007160,9.153063
16384,65536,128,64,0.006350,10.320624,0.007200,9.102214
16384,65536,128,64,0.006200,10.570318,0.007130,9.191575
16384,65536,128,64,0.006140,10.673612,0.007180,9.127567
16384,65536,128,64,0.006260,10.469004,0.007470,8.773218
16384,65536,128,64,0.006220,10.536335,0.007190,9.114872
16384,65536,128,64,0.006200,10.570318,0.007320,8.952995
16384,65536,128,64,0.006280,10.435665,0.007150,9.165865
16384,65536,128,64,0.006200,10.570319,0.007140,9.178702
32768,131072,128,1,0.019750,6.636555,0.019330,6.780749
32768,131072,128,2,0.013300,9.855028,0.013700,9.567290
32768,131072,128,4,0.010140,12.926241,0.010580,12.388664
32768,131072,128,8,0.008130,16.122011,0.008770,14.945491
32768,131072,128,16,0.007200,18.204426,0.007640,17.156012
32768,131072,128,32,0.006790,19.303673,0.007340,17.857204
32768,131072,128,64,0.006330,20.706476,0.007130,18.383150
32768,131072,128,128,0.006330,20.706469,0.007400,17.712414
32768,131072,128,128,0.006180,21.209057,0.007440,17.617188
32768,131072,128,128,0.006370,20.576454,0.007170,18.280594
32768,131072,128,128,0.006430,20.384443,0.007320,17.905996
32768,131072,128,128,0.006260,20.938015,0.007170,18.280596
32768,131072,128,128,0.006350,20.641249,0.007450,17.593542
32768,131072,128,128,0.006230,21.038841,0.007150,18.331730
32768,131072,128,128,0.006370,20.576445,0.007390,17.736383
32768,131072,128,128,0.006210,21.106604,0.007460,17.569958
32768,131072,128,128,0.006300,20.805079,0.007170,18.280596
32768,131072,128,128,0.006350,20.641251,0.007280,18.004379
32768,131072,128,128,0.006200,21.140642,0.007380,17.760422
32768,131072,128,128,0.006450,20.321239,0.007200,18.204426
65536,262144,128,1,0.033950,7.721477,0.033760,7.764933
65536,262144,128,2,0.020430,12.831329,0.020960,12.506864
65536,262144,128,4,0.014110,18.578577,0.014500,18.078890
65536,262144,128,8,0.010230,25.625040,0.010710,24.476574
65536,262144,128,16,0.008030,32.645573,0.008680,30.200914
65536,262144,128,32,0.007200,36.408855,0.007620,34.402081
65536,262144,128,64,0.006730,38.951538,0.007330,35.763134
65536,262144,128,128,0.006360,41.217594,0.007140,36.714806
65536,262144,128,256,0.006550,40.021969,0.007280,36.008755
65536,262144,128,256,0.006400,40.959961,0.007460,35.139919
65536,262144,128,256,0.006550,40.021961,0.007110,36.869720
65536,262144,128,256,0.006510,40.267879,0.007470,35.092876
65536,262144,128,256,0.006390,41.024075,0.007200,36.408855
65536,262144,128,256,0.006500,40.329823,0.007360,35.617355
65536,262144,128,256,0.006450,40.642460,0.007210,36.358356
65536,262144,128,256,0.006540,40.083160,0.007270,36.058289
65536,262144,128,256,0.006370,41.152878,0.007230,36.257782
65536,262144,128,256,0.006520,40.206116,0.007100,36.921650
65536,262144,128,256,0.006490,40.391972,0.007320,35.811993
65536,262144,128,256,0.006280,41.742661,0.007080,37.025948
131072,524288,128,1,0.062600,8.375215,0.062320,8.412840
131072,524288,128,2,0.034820,15.057088,0.035310,14.848134
131072,524288,128,4,0.021660,24.205360,0.022520,23.281000
131072,524288,128,8,0.013970,37.529526,0.014570,35.984062
131072,524288,128,16,0.010050,52.167992,0.010720,48.907494
131072,524288,128,32,0.007960,65.865303,0.008590,61.034668
131072,524288,128,64,0.007290,71.918724,0.007630,68.713982
131072,524288,128,128,0.006580,79.679001,0.007530,69.626511
131072,524288,128,256,0.006570,79.800255,0.007190,72.918983
131072,524288,128,512,0.006590,79.558067,0.009430,55.597885
131072,524288,128,512,0.006550,80.043922,0.009430,55.597870
131072,524288,128,512,0.006600,79.437538,0.009600,54.613346
131072,524288,128,512,0.006700,78.251900,0.009740,53.828350
131072,524288,128,512,0.006590,79.558083,0.009430,55.597878
131072,524288,128,512,0.006620,79.197548,0.009330,56.193787
131072,524288,128,512,0.006540,80.166313,0.009700,54.050327
131072,524288,128,512,0.006490,80.783920,0.009310,56.314503
131072,524288,128,512,0.006800,77.101120,0.009330,56.193779
131072,524288,128,512,0.006630,79.078064,0.009610,54.556515
131072,524288,128,512,0.006630,79.078072,0.009390,55.834728
262144,1048576,128,1,0.119930,8.743226,0.119340,8.786452
262144,1048576,128,2,0.063280,16.570406,0.063750,16.448244
262144,1048576,128,4,0.037110,28.255913,0.037630,27.865419
262144,1048576,128,8,0.021670,48.388382,0.022190,47.254452
262144,1048576,128,16,0.014120,74.261688,0.014420,72.716751
262144,1048576,128,32,0.010000,104.857658,0.010490,99.959633
262144,1048576,128,64,0.008110,129.294159,0.008670,120.942978
262144,1048576,128,128,0.007080,148.103806,0.007680,136.533264
262144,1048576,128,256,0.006970,150.441162,0.007400,141.699310
262144,1048576,128,512,0.006740,155.574982,0.009470,110.726097
262144,1048576,128,1024,0.007650,137.068680,0.009310,112.629005
262144,1048576,128,1024,0.007600,137.970428,0.009530,110.028954
262144,1048576,128,1024,0.007570,138.517212,0.009520,110.144554
262144,1048576,128,1024,0.007570,138.517212,0.009370,111.907799
262144,1048576,128,1024,0.007750,135.300049,0.009470,110.726097
262144,1048576,128,1024,0.007500,139.810028,0.009510,110.260376
262144,1048576,128,1024,0.007660,136.889725,0.009350,112.147163
262144,1048576,128,1024,0.007730,135.650116,0.009560,109.683678
262144,1048576,128,1024,0.007540,139.068344,0.009690,108.212204
262144,1048576,128,1024,0.007610,137.789124,0.009380,111.788498
524288,2097152,128,1,0.234520,8.942320,0.233090,8.997182
524288,2097152,128,2,0.120070,17.466091,0.120520,17.400866
524288,2097152,128,4,0.067950,30.863186,0.068720,30.517380
524288,2097152,128,8,0.037130,56.481384,0.037820,55.450832
524288,2097152,128,16,0.021720,96.553986,0.022190,94.508888
524288,2097152,128,32,0.013950,150.333313,0.014490,144.730957
524288,2097152,128,64,0.010200,205.603256,0.010530,199.159882
524288,2097152,128,128,0.008340,251.457016,0.008840,237.234314
524288,2097152,128,256,0.007300,287.280823,0.007990,262.471985
524288,2097152,128,512,0.007120,294.543549,0.009290,225.742935
524288,2097152,128,1024,0.008160,257.003845,0.009610,218.226059
524288,2097152,128,2048,0.008960,234.057068,0.010170,206.209763
524288,2097152,128,2048,0.009240,226.964447,0.009950,210.769165
524288,2097152,128,2048,0.009190,228.199280,0.010010,209.505798
524288,2097152,128,2048,0.009170,228.696991,0.010060,208.464523
524288,2097152,128,2048,0.009000,233.016830,0.010000,209.715317
524288,2097152,128,2048,0.009110,230.203217,0.009920,211.406570
524288,2097152,128,2048,0.009080,230.963821,0.010070,208.257538
524288,2097152,128,2048,0.008990,233.276031,0.010230,205.000320
524288,2097152,128,2048,0.008970,233.796158,0.009950,210.769150
1048576,4194304,128,1,0.463520,9.048816,0.460800,9.102227
1048576,4194304,128,2,0.234100,17.916731,0.234790,17.864065
1048576,4194304,128,4,0.129690,32.340992,0.130130,32.231628
1048576,4194304,128,8,0.068030,61.653782,0.068700,61.052525
1048576,4194304,128,16,0.037180,112.810852,0.037760,111.077911
1048576,4194304,128,32,0.021680,193.464249,0.022260,188.423401
1048576,4194304,128,64,0.014050,298.526642,0.014670,285.910278
1048576,4194304,128,128,0.010310,406.819275,0.010830,387.285919
1048576,4194304,128,256,0.008560,489.988586,0.008980,467.071594
1048576,4194304,128,512,0.007700,544.714478,0.009830,426.684143
1048576,4194304,128,1024,0.008540,491.136200,0.010090,415.689453
1048576,4194304,128,2048,0.009680,433.295990,0.010450,401.369080
1048576,4194304,128,4096,0.011930,351.576111,0.011570,362.515411
1048576,4194304,128,4096,0.011950,350.987732,0.011880,353.055847
1048576,4194304,128,4096,0.011800,355.449402,0.011580,362.202362
1048576,4194304,128,4096,0.011820,354.847900,0.012070,347.498260
1048576,4194304,128,4096,0.011910,352.166595,0.011580,362.202332
1048576,4194304,128,4096,0.012060,347.786316,0.011560,362.829010
1048576,4194304,128,4096,0.011830,354.548035,0.011580,362.202484
1048576,4194304,128,4096,0.011880,353.055847,0.011820,354.848022
2097152,8388608,128,1,0.921090,9.107259,0.915910,9.158765
2097152,8388608,128,2,0.461860,18.162653,0.462540,18.135950
2097152,8388608,128,4,0.253040,33.151299,0.253390,33.105511
2097152,8388608,128,8,0.129590,64.731895,0.130060,64.497948
2097152,8388608,128,16,0.067940,123.470924,0.068290,122.838120
2097152,8388608,128,32,0.037090,226.169159,0.037590,223.160507
2097152,8388608,128,64,0.021660,387.285767,0.022170,378.376709
2097152,8388608,128,128,0.014080,595.781372,0.014560,576.140564
2097152,8388608,128,256,0.010310,813.638672,0.010870,771.721375
2097152,8388608,128,512,0.009060,925.894714,0.011030,760.526733
2097152,8388608,128,1024,0.009990,839.700928,0.011560,725.658081
2097152,8388608,128,2048,0.010660,786.924316,0.011570,725.030762
2097152,8388608,128,4096,0.012700,660.520081,0.012440,674.324951
2097152,8388608,128,8192,0.017520,478.801910,0.014820,566.033142
2097152,8388608,128,8192,0.017540,478.255951,0.014800,566.797974
2097152,8388608,128,8192,0.017670,474.737305,0.014990,559.613831
2097152,8388608,128,8192,0.017480,479.897614,0.014810,566.415222
2097152,8388608,128,8192,0.017840,470.213470,0.014910,562.616455
2097152,8388608,128,8192,0.017520,478.802002,0.014840,565.270325
2097152,8388608,128,8192,0.017590,476.896484,0.014810,566.415283
4194304,16777216,128,1,1.836970,9.133093,1.826020,9.187861
4194304,16777216,128,2,0.918000,18.275845,0.918519,18.265497
4194304,16777216,128,4,0.499730,33.572556,0.500160,33.543701
4194304,16777216,128,8,0.252930,66.331421,0.253430,66.200592
4194304,16777216,128,16,0.129580,129.473801,0.130170,128.886917
4194304,16777216,128,32,0.067860,247.232971,0.068430,245.173615
4194304,16777216,128,64,0.037190,451.122009,0.037700,445.018768
4194304,16777216,128,128,0.021840,768.187866,0.022330,751.330872
4194304,16777216,128,256,0.014330,1170.774780,0.014940,1122.973511
4194304,16777216,128,512,0.011810,1420.593872,0.013870,1209.603394
4194304,16777216,128,1024,0.012980,1292.542725,0.014450,1161.052612
4194304,16777216,128,2048,0.013030,1287.582886,0.013980,1200.085815
4194304,16777216,128,4096,0.014590,1149.912109,0.014290,1174.052124
4194304,16777216,128,8192,0.019000,883.010620,0.016190,1036.270264
4194304,16777216,128,16384,0.028940,579.723694,0.021510,779.972900
4194304,16777216,128,16384,0.028900,580.526001,0.021470,781.425903
4194304,16777216,128,16384,0.028750,583.554810,0.021410,783.615662
4194304,16777216,128,16384,0.028770,583.149170,0.021440,782.519287
4194304,16777216,128,16384,0.028830,581.935547,0.021520,779.610291
4194304,16777216,128,16384,0.028790,582.744080,0.021480,781.062012
8388608,33554432,128,1,3.669560,9.143993,3.648699,9.196272
8388608,33554432,128,2,1.830310,18.332649,1.830800,18.327745
8388608,33554432,128,4,0.993490,33.774311,0.993930,33.759354
8388608,33554432,128,8,0.500020,67.106186,0.500570,67.032463
8388608,33554432,128,16,0.253140,132.552811,0.253850,132.182159
8388608,33554432,128,32,0.130180,257.754059,0.130260,257.595734
8388608,33554432,128,64,0.068110,492.651001,0.068600,489.132263
